locs,techs,timesteps,storage
SICI,PHS_PP_ex,2019-04-01 13:00:00,3.0731111334200003
SICI,PHS_PP_ex,2019-04-01 14:00:00,3.2941218445600002
SICI,PHS_PP_ex,2019-04-01 15:00:00,3.5151325557
SICI,PHS_PP_ex,2019-04-01 16:00:00,3.734796330875
SICI,PHS_PP_ex,2019-04-01 17:00:00,3.95482943729
SICI,PHS_PP_ex,2019-04-01 18:00:00,4.17410405081
SICI,PHS_PP_ex,2019-04-01 19:00:00,4.393086277309999
SICI,PHS_PP_ex,2019-04-01 20:00:00,4.612068503809999
SICI,PHS_PP_ex,2019-04-01 21:00:00,4.831505904659999
SICI,PHS_PP_ex,2019-04-01 22:00:00,5.0668985504599995
SICI,PHS_PP_ex,2019-04-01 23:00:00,5.304133419525
SICI,PHS_PP_ex,2019-04-02 00:00:00,5.605439620315
SICI,PHS_PP_ex,2019-04-02 01:00:00,6.00224589617
SICI,PHS_PP_ex,2019-04-02 02:00:00,6.4779062688249995
SICI,PHS_PP_ex,2019-04-02 03:00:00,6.823938528879999
SICI,PHS_PP_ex,2019-04-02 04:00:00,7.052746659019999
SICI,PHS_PP_ex,2019-04-02 05:00:00,7.273757370159999
SICI,PHS_PP_ex,2019-04-02 06:00:00,7.494768081299999
SICI,PHS_PP_ex,2019-04-02 07:00:00,7.713611822554999
SICI,PHS_PP_ex,2019-04-02 08:00:00,7.932152224945
SICI,PHS_PP_ex,2019-04-02 09:00:00,8.150692627335
SICI,PHS_PP_ex,2019-04-02 10:00:00,8.369233029724999
SICI,PHS_PP_ex,2019-04-02 11:00:00,8.587773432114998
SICI,PHS_PP_ex,2019-04-02 12:00:00,8.806224490004999
SICI,PHS_PP_ex,2019-04-02 13:00:00,9.024978886759998
SICI,PHS_PP_ex,2019-04-02 14:00:00,9.243429944649998
SICI,PHS_PP_ex,2019-04-02 15:00:00,9.462665506939999
SICI,PHS_PP_ex,2019-04-02 16:00:00,9.681156917809998
SICI,PHS_PP_ex,2019-04-02 17:00:00,9.899648328679998
SICI,PHS_PP_ex,2019-04-02 18:00:00,10.118139739549997
SICI,PHS_PP_ex,2019-04-02 19:00:00,10.335810691049998
SICI,PHS_PP_ex,2019-04-02 20:00:00,10.553481642549999
SICI,PHS_PP_ex,2019-04-02 21:00:00,0.0
SICI,PHS_PP_ex,2019-04-02 22:00:00,0.217216109255
SICI,PHS_PP_ex,2019-04-02 23:00:00,0.0
SICI,PHS_PP_ex,2019-04-03 00:00:00,0.217216109255
SICI,PHS_PP_ex,2019-04-03 01:00:00,0.43446810363
SICI,PHS_PP_ex,2019-04-03 02:00:00,0.651720098005
SICI,PHS_PP_ex,2019-04-03 03:00:00,0.86897209238
SICI,PHS_PP_ex,2019-04-03 04:00:00,1.0863755901349998
SICI,PHS_PP_ex,2019-04-03 05:00:00,1.3037437888749999
SICI,PHS_PP_ex,2019-04-03 06:00:00,1.5210011312199998
SICI,PHS_PP_ex,2019-04-03 07:00:00,1.7382172404749998
SICI,PHS_PP_ex,2019-04-03 08:00:00,1.9554333497299998
SICI,PHS_PP_ex,2019-04-03 09:00:00,2.172649458985
SICI,PHS_PP_ex,2019-04-03 10:00:00,2.3898655682400003
SICI,PHS_PP_ex,2019-04-03 11:00:00,2.6070816774950005
SICI,PHS_PP_ex,2019-04-03 12:00:00,2.8236937049000006
SICI,PHS_PP_ex,2019-04-03 13:00:00,3.0396327764500004
SICI,PHS_PP_ex,2019-04-03 14:00:00,3.2575185789300005
SICI,PHS_PP_ex,2019-04-03 15:00:00,3.4758144231350006
SICI,PHS_PP_ex,2019-04-03 16:00:00,3.6922925792050005
SICI,PHS_PP_ex,2019-04-03 17:00:00,3.9081667372450006
SICI,PHS_PP_ex,2019-04-03 18:00:00,4.124149825725
SICI,PHS_PP_ex,2019-04-03 19:00:00,0.0
SICI,PHS_PP_ex,2019-04-03 20:00:00,0.0
SICI,PHS_PP_ex,2019-04-03 21:00:00,0.0
SICI,PHS_PP_ex,2019-04-03 22:00:00,0.0
SICI,PHS_PP_ex,2019-04-03 23:00:00,0.0
